startTime :2015-01-19 03:30:45 || endTime :2015-01-19 04:30:45 || tweets/hour :115
startTime :2015-01-19 04:30:45 || endTime :2015-01-19 05:30:45 || tweets/hour :27
startTime :2015-01-19 05:30:45 || endTime :2015-01-19 06:30:45 || tweets/hour :19
startTime :2015-01-19 06:30:45 || endTime :2015-01-19 07:30:45 || tweets/hour :12
startTime :2015-01-19 07:30:45 || endTime :2015-01-19 08:30:45 || tweets/hour :7
startTime :2015-01-19 08:30:45 || endTime :2015-01-19 09:30:45 || tweets/hour :8
startTime :2015-01-19 09:30:45 || endTime :2015-01-19 10:30:45 || tweets/hour :10
startTime :2015-01-19 10:30:45 || endTime :2015-01-19 11:30:45 || tweets/hour :10
startTime :2015-01-19 11:30:45 || endTime :2015-01-19 12:30:45 || tweets/hour :9
startTime :2015-01-19 12:30:45 || endTime :2015-01-19 13:30:45 || tweets/hour :9
startTime :2015-01-19 13:30:45 || endTime :2015-01-19 14:30:45 || tweets/hour :12
startTime :2015-01-19 14:30:45 || endTime :2015-01-19 15:30:45 || tweets/hour :13
startTime :2015-01-19 15:30:45 || endTime :2015-01-19 16:30:45 || tweets/hour :11
startTime :2015-01-19 16:30:45 || endTime :2015-01-19 17:30:45 || tweets/hour :23
startTime :2015-01-19 17:30:45 || endTime :2015-01-19 18:30:45 || tweets/hour :14
startTime :2015-01-19 18:30:45 || endTime :2015-01-19 19:30:45 || tweets/hour :11
startTime :2015-01-19 19:30:45 || endTime :2015-01-19 20:30:45 || tweets/hour :8
startTime :2015-01-19 20:30:45 || endTime :2015-01-19 21:30:45 || tweets/hour :6
startTime :2015-01-19 21:30:45 || endTime :2015-01-19 22:30:45 || tweets/hour :6
startTime :2015-01-19 22:30:45 || endTime :2015-01-19 23:30:45 || tweets/hour :12
startTime :2015-01-19 23:30:45 || endTime :2015-01-20 00:30:45 || tweets/hour :10
startTime :2015-01-20 00:30:45 || endTime :2015-01-20 01:30:45 || tweets/hour :4
