startTime :2015-01-03 14:27:13 || endTime :2015-01-03 15:27:13 || tweets/hour :0
startTime :2015-01-03 15:27:13 || endTime :2015-01-03 16:27:13 || tweets/hour :0
startTime :2015-01-03 16:27:13 || endTime :2015-01-03 17:27:13 || tweets/hour :0
startTime :2015-01-03 17:27:13 || endTime :2015-01-03 18:27:13 || tweets/hour :0
startTime :2015-01-03 18:27:13 || endTime :2015-01-03 19:27:13 || tweets/hour :0
startTime :2015-01-03 19:27:13 || endTime :2015-01-03 20:27:13 || tweets/hour :0
startTime :2015-01-03 20:27:13 || endTime :2015-01-03 21:27:13 || tweets/hour :0
startTime :2015-01-03 21:27:13 || endTime :2015-01-03 22:27:13 || tweets/hour :0
startTime :2015-01-03 22:27:13 || endTime :2015-01-03 23:27:13 || tweets/hour :0
startTime :2015-01-03 23:27:13 || endTime :2015-01-04 00:27:13 || tweets/hour :0
startTime :2015-01-04 00:27:13 || endTime :2015-01-04 01:27:13 || tweets/hour :0
startTime :2015-01-04 01:27:13 || endTime :2015-01-04 02:27:13 || tweets/hour :0
startTime :2015-01-04 02:27:13 || endTime :2015-01-04 03:27:13 || tweets/hour :0
startTime :2015-01-04 03:27:13 || endTime :2015-01-04 04:27:13 || tweets/hour :1
startTime :2015-01-04 04:27:13 || endTime :2015-01-04 05:27:13 || tweets/hour :0
startTime :2015-01-04 05:27:13 || endTime :2015-01-04 06:27:13 || tweets/hour :0
startTime :2015-01-04 06:27:13 || endTime :2015-01-04 07:27:13 || tweets/hour :1
startTime :2015-01-04 07:27:13 || endTime :2015-01-04 08:27:13 || tweets/hour :0
startTime :2015-01-04 08:27:13 || endTime :2015-01-04 09:27:13 || tweets/hour :0
startTime :2015-01-04 09:27:13 || endTime :2015-01-04 10:27:13 || tweets/hour :0
startTime :2015-01-04 10:27:13 || endTime :2015-01-04 11:27:13 || tweets/hour :0
startTime :2015-01-04 11:27:13 || endTime :2015-01-04 12:27:13 || tweets/hour :0
startTime :2015-01-04 12:27:13 || endTime :2015-01-04 13:27:13 || tweets/hour :0
startTime :2015-01-04 13:27:13 || endTime :2015-01-04 14:27:13 || tweets/hour :0
startTime :2015-01-04 14:27:13 || endTime :2015-01-04 15:27:13 || tweets/hour :0
