startTime :2015-01-09 02:14:35 || endTime :2015-01-09 03:14:35 || tweets/hour :1
startTime :2015-01-09 03:14:35 || endTime :2015-01-09 04:14:35 || tweets/hour :0
startTime :2015-01-09 04:14:35 || endTime :2015-01-09 05:14:35 || tweets/hour :0
startTime :2015-01-09 05:14:35 || endTime :2015-01-09 06:14:35 || tweets/hour :0
startTime :2015-01-09 06:14:35 || endTime :2015-01-09 07:14:35 || tweets/hour :1
startTime :2015-01-09 07:14:35 || endTime :2015-01-09 08:14:35 || tweets/hour :1
startTime :2015-01-09 08:14:35 || endTime :2015-01-09 09:14:35 || tweets/hour :0
startTime :2015-01-09 09:14:35 || endTime :2015-01-09 10:14:35 || tweets/hour :0
startTime :2015-01-09 10:14:35 || endTime :2015-01-09 11:14:35 || tweets/hour :0
startTime :2015-01-09 11:14:35 || endTime :2015-01-09 12:14:35 || tweets/hour :0
startTime :2015-01-09 12:14:35 || endTime :2015-01-09 13:14:35 || tweets/hour :0
startTime :2015-01-09 13:14:35 || endTime :2015-01-09 14:14:35 || tweets/hour :0
startTime :2015-01-09 14:14:35 || endTime :2015-01-09 15:14:35 || tweets/hour :3
startTime :2015-01-09 15:14:35 || endTime :2015-01-09 16:14:35 || tweets/hour :0
startTime :2015-01-09 16:14:35 || endTime :2015-01-09 17:14:35 || tweets/hour :3
startTime :2015-01-09 17:14:35 || endTime :2015-01-09 18:14:35 || tweets/hour :1
startTime :2015-01-09 18:14:35 || endTime :2015-01-09 19:14:35 || tweets/hour :3
startTime :2015-01-09 19:14:35 || endTime :2015-01-09 20:14:35 || tweets/hour :3
startTime :2015-01-09 20:14:35 || endTime :2015-01-09 21:14:35 || tweets/hour :1
startTime :2015-01-09 21:14:35 || endTime :2015-01-09 22:14:35 || tweets/hour :1
startTime :2015-01-09 22:14:35 || endTime :2015-01-09 23:14:35 || tweets/hour :2
startTime :2015-01-09 23:14:35 || endTime :2015-01-10 00:14:35 || tweets/hour :6
startTime :2015-01-10 00:14:35 || endTime :2015-01-10 01:14:35 || tweets/hour :1
startTime :2015-01-10 01:14:35 || endTime :2015-01-10 02:14:35 || tweets/hour :1
startTime :2015-01-10 02:14:35 || endTime :2015-01-10 03:14:35 || tweets/hour :1
startTime :2015-01-10 03:14:35 || endTime :2015-01-10 04:14:35 || tweets/hour :0
startTime :2015-01-10 04:14:35 || endTime :2015-01-10 05:14:35 || tweets/hour :0
startTime :2015-01-10 05:14:35 || endTime :2015-01-10 06:14:35 || tweets/hour :1
startTime :2015-01-10 06:14:35 || endTime :2015-01-10 07:14:35 || tweets/hour :2
startTime :2015-01-10 07:14:35 || endTime :2015-01-10 08:14:35 || tweets/hour :3
