startTime :2015-01-04 06:21:19 || endTime :2015-01-04 07:21:19 || tweets/hour :0
startTime :2015-01-04 07:21:19 || endTime :2015-01-04 08:21:19 || tweets/hour :0
startTime :2015-01-04 08:21:19 || endTime :2015-01-04 09:21:19 || tweets/hour :0
startTime :2015-01-04 09:21:19 || endTime :2015-01-04 10:21:19 || tweets/hour :0
startTime :2015-01-04 10:21:19 || endTime :2015-01-04 11:21:19 || tweets/hour :0
startTime :2015-01-04 11:21:19 || endTime :2015-01-04 12:21:19 || tweets/hour :0
startTime :2015-01-04 12:21:19 || endTime :2015-01-04 13:21:19 || tweets/hour :0
startTime :2015-01-04 13:21:19 || endTime :2015-01-04 14:21:19 || tweets/hour :0
startTime :2015-01-04 14:21:19 || endTime :2015-01-04 15:21:19 || tweets/hour :0
startTime :2015-01-04 15:21:19 || endTime :2015-01-04 16:21:19 || tweets/hour :0
startTime :2015-01-04 16:21:19 || endTime :2015-01-04 17:21:19 || tweets/hour :0
startTime :2015-01-04 17:21:19 || endTime :2015-01-04 18:21:19 || tweets/hour :0
startTime :2015-01-04 18:21:19 || endTime :2015-01-04 19:21:19 || tweets/hour :0
startTime :2015-01-04 19:21:19 || endTime :2015-01-04 20:21:19 || tweets/hour :0
startTime :2015-01-04 20:21:19 || endTime :2015-01-04 21:21:19 || tweets/hour :0
startTime :2015-01-04 21:21:19 || endTime :2015-01-04 22:21:19 || tweets/hour :0
startTime :2015-01-04 22:21:19 || endTime :2015-01-04 23:21:19 || tweets/hour :0
startTime :2015-01-04 23:21:19 || endTime :2015-01-05 00:21:19 || tweets/hour :0
startTime :2015-01-05 00:21:19 || endTime :2015-01-05 01:21:19 || tweets/hour :0
startTime :2015-01-05 01:21:19 || endTime :2015-01-05 02:21:19 || tweets/hour :0
startTime :2015-01-05 02:21:19 || endTime :2015-01-05 03:21:19 || tweets/hour :0
startTime :2015-01-05 03:21:19 || endTime :2015-01-05 04:21:19 || tweets/hour :0
startTime :2015-01-05 04:21:19 || endTime :2015-01-05 05:21:19 || tweets/hour :0
startTime :2015-01-05 05:21:19 || endTime :2015-01-05 06:21:19 || tweets/hour :0
startTime :2015-01-05 06:21:19 || endTime :2015-01-05 07:21:19 || tweets/hour :0
startTime :2015-01-05 07:21:19 || endTime :2015-01-05 08:21:19 || tweets/hour :0
startTime :2015-01-05 08:21:19 || endTime :2015-01-05 09:21:19 || tweets/hour :0
startTime :2015-01-05 09:21:19 || endTime :2015-01-05 10:21:19 || tweets/hour :0
startTime :2015-01-05 10:21:19 || endTime :2015-01-05 11:21:19 || tweets/hour :0
startTime :2015-01-05 11:21:19 || endTime :2015-01-05 12:21:19 || tweets/hour :0
startTime :2015-01-05 12:21:19 || endTime :2015-01-05 13:21:19 || tweets/hour :0
startTime :2015-01-05 13:21:19 || endTime :2015-01-05 14:21:19 || tweets/hour :0
startTime :2015-01-05 14:21:19 || endTime :2015-01-05 15:21:19 || tweets/hour :0
startTime :2015-01-05 15:21:19 || endTime :2015-01-05 16:21:19 || tweets/hour :0
startTime :2015-01-05 16:21:19 || endTime :2015-01-05 17:21:19 || tweets/hour :0
startTime :2015-01-05 17:21:19 || endTime :2015-01-05 18:21:19 || tweets/hour :0
startTime :2015-01-05 18:21:19 || endTime :2015-01-05 19:21:19 || tweets/hour :0
startTime :2015-01-05 19:21:19 || endTime :2015-01-05 20:21:19 || tweets/hour :0
startTime :2015-01-05 20:21:19 || endTime :2015-01-05 21:21:19 || tweets/hour :0
startTime :2015-01-05 21:21:19 || endTime :2015-01-05 22:21:19 || tweets/hour :1
startTime :2015-01-05 22:21:19 || endTime :2015-01-05 23:21:19 || tweets/hour :0
startTime :2015-01-05 23:21:19 || endTime :2015-01-06 00:21:19 || tweets/hour :0
startTime :2015-01-06 00:21:19 || endTime :2015-01-06 01:21:19 || tweets/hour :0
startTime :2015-01-06 01:21:19 || endTime :2015-01-06 02:21:19 || tweets/hour :0
startTime :2015-01-06 02:21:19 || endTime :2015-01-06 03:21:19 || tweets/hour :1
startTime :2015-01-06 03:21:19 || endTime :2015-01-06 04:21:19 || tweets/hour :0
startTime :2015-01-06 04:21:19 || endTime :2015-01-06 05:21:19 || tweets/hour :1
startTime :2015-01-06 05:21:19 || endTime :2015-01-06 06:21:19 || tweets/hour :0
startTime :2015-01-06 06:21:19 || endTime :2015-01-06 07:21:19 || tweets/hour :0
startTime :2015-01-06 07:21:19 || endTime :2015-01-06 08:21:19 || tweets/hour :0
startTime :2015-01-06 08:21:19 || endTime :2015-01-06 09:21:19 || tweets/hour :0
startTime :2015-01-06 09:21:19 || endTime :2015-01-06 10:21:19 || tweets/hour :0
startTime :2015-01-06 10:21:19 || endTime :2015-01-06 11:21:19 || tweets/hour :0
startTime :2015-01-06 11:21:19 || endTime :2015-01-06 12:21:19 || tweets/hour :0
startTime :2015-01-06 12:21:19 || endTime :2015-01-06 13:21:19 || tweets/hour :0
startTime :2015-01-06 13:21:19 || endTime :2015-01-06 14:21:19 || tweets/hour :0
startTime :2015-01-06 14:21:19 || endTime :2015-01-06 15:21:19 || tweets/hour :0
startTime :2015-01-06 15:21:19 || endTime :2015-01-06 16:21:19 || tweets/hour :0
startTime :2015-01-06 16:21:19 || endTime :2015-01-06 17:21:19 || tweets/hour :0
startTime :2015-01-06 17:21:19 || endTime :2015-01-06 18:21:19 || tweets/hour :0
startTime :2015-01-06 18:21:19 || endTime :2015-01-06 19:21:19 || tweets/hour :0
startTime :2015-01-06 19:21:19 || endTime :2015-01-06 20:21:19 || tweets/hour :0
startTime :2015-01-06 20:21:19 || endTime :2015-01-06 21:21:19 || tweets/hour :2
startTime :2015-01-06 21:21:19 || endTime :2015-01-06 22:21:19 || tweets/hour :0
startTime :2015-01-06 22:21:19 || endTime :2015-01-06 23:21:19 || tweets/hour :0
startTime :2015-01-06 23:21:19 || endTime :2015-01-07 00:21:19 || tweets/hour :0
startTime :2015-01-07 00:21:19 || endTime :2015-01-07 01:21:19 || tweets/hour :0
startTime :2015-01-07 01:21:19 || endTime :2015-01-07 02:21:19 || tweets/hour :0
startTime :2015-01-07 02:21:19 || endTime :2015-01-07 03:21:19 || tweets/hour :0
startTime :2015-01-07 03:21:19 || endTime :2015-01-07 04:21:19 || tweets/hour :0
startTime :2015-01-07 04:21:19 || endTime :2015-01-07 05:21:19 || tweets/hour :0
startTime :2015-01-07 05:21:19 || endTime :2015-01-07 06:21:19 || tweets/hour :0
startTime :2015-01-07 06:21:19 || endTime :2015-01-07 07:21:19 || tweets/hour :0
startTime :2015-01-07 07:21:19 || endTime :2015-01-07 08:21:19 || tweets/hour :0
startTime :2015-01-07 08:21:19 || endTime :2015-01-07 09:21:19 || tweets/hour :0
startTime :2015-01-07 09:21:19 || endTime :2015-01-07 10:21:19 || tweets/hour :0
startTime :2015-01-07 10:21:19 || endTime :2015-01-07 11:21:19 || tweets/hour :0
startTime :2015-01-07 11:21:19 || endTime :2015-01-07 12:21:19 || tweets/hour :0
startTime :2015-01-07 12:21:19 || endTime :2015-01-07 13:21:19 || tweets/hour :0
startTime :2015-01-07 13:21:19 || endTime :2015-01-07 14:21:19 || tweets/hour :0
startTime :2015-01-07 14:21:19 || endTime :2015-01-07 15:21:19 || tweets/hour :0
startTime :2015-01-07 15:21:19 || endTime :2015-01-07 16:21:19 || tweets/hour :0
startTime :2015-01-07 16:21:19 || endTime :2015-01-07 17:21:19 || tweets/hour :0
startTime :2015-01-07 17:21:19 || endTime :2015-01-07 18:21:19 || tweets/hour :1
startTime :2015-01-07 18:21:19 || endTime :2015-01-07 19:21:19 || tweets/hour :0
startTime :2015-01-07 19:21:19 || endTime :2015-01-07 20:21:19 || tweets/hour :0
startTime :2015-01-07 20:21:19 || endTime :2015-01-07 21:21:19 || tweets/hour :0
startTime :2015-01-07 21:21:19 || endTime :2015-01-07 22:21:19 || tweets/hour :0
startTime :2015-01-07 22:21:19 || endTime :2015-01-07 23:21:19 || tweets/hour :0
startTime :2015-01-07 23:21:19 || endTime :2015-01-08 00:21:19 || tweets/hour :0
startTime :2015-01-08 00:21:19 || endTime :2015-01-08 01:21:19 || tweets/hour :0
startTime :2015-01-08 01:21:19 || endTime :2015-01-08 02:21:19 || tweets/hour :0
startTime :2015-01-08 02:21:19 || endTime :2015-01-08 03:21:19 || tweets/hour :0
startTime :2015-01-08 03:21:19 || endTime :2015-01-08 04:21:19 || tweets/hour :0
startTime :2015-01-08 04:21:19 || endTime :2015-01-08 05:21:19 || tweets/hour :0
startTime :2015-01-08 05:21:19 || endTime :2015-01-08 06:21:19 || tweets/hour :0
startTime :2015-01-08 06:21:19 || endTime :2015-01-08 07:21:19 || tweets/hour :0
startTime :2015-01-08 07:21:19 || endTime :2015-01-08 08:21:19 || tweets/hour :0
startTime :2015-01-08 08:21:19 || endTime :2015-01-08 09:21:19 || tweets/hour :0
startTime :2015-01-08 09:21:19 || endTime :2015-01-08 10:21:19 || tweets/hour :0
startTime :2015-01-08 10:21:19 || endTime :2015-01-08 11:21:19 || tweets/hour :0
startTime :2015-01-08 11:21:19 || endTime :2015-01-08 12:21:19 || tweets/hour :0
startTime :2015-01-08 12:21:19 || endTime :2015-01-08 13:21:19 || tweets/hour :0
startTime :2015-01-08 13:21:19 || endTime :2015-01-08 14:21:19 || tweets/hour :0
startTime :2015-01-08 14:21:19 || endTime :2015-01-08 15:21:19 || tweets/hour :0
startTime :2015-01-08 15:21:19 || endTime :2015-01-08 16:21:19 || tweets/hour :0
startTime :2015-01-08 16:21:19 || endTime :2015-01-08 17:21:19 || tweets/hour :0
startTime :2015-01-08 17:21:19 || endTime :2015-01-08 18:21:19 || tweets/hour :0
startTime :2015-01-08 18:21:19 || endTime :2015-01-08 19:21:19 || tweets/hour :2
startTime :2015-01-08 19:21:19 || endTime :2015-01-08 20:21:19 || tweets/hour :1
startTime :2015-01-08 20:21:19 || endTime :2015-01-08 21:21:19 || tweets/hour :0
startTime :2015-01-08 21:21:19 || endTime :2015-01-08 22:21:19 || tweets/hour :0
startTime :2015-01-08 22:21:19 || endTime :2015-01-08 23:21:19 || tweets/hour :0
startTime :2015-01-08 23:21:19 || endTime :2015-01-09 00:21:19 || tweets/hour :0
startTime :2015-01-09 00:21:19 || endTime :2015-01-09 01:21:19 || tweets/hour :1
startTime :2015-01-09 01:21:19 || endTime :2015-01-09 02:21:19 || tweets/hour :1
startTime :2015-01-09 02:21:19 || endTime :2015-01-09 03:21:19 || tweets/hour :0
startTime :2015-01-09 03:21:19 || endTime :2015-01-09 04:21:19 || tweets/hour :0
startTime :2015-01-09 04:21:19 || endTime :2015-01-09 05:21:19 || tweets/hour :0
startTime :2015-01-09 05:21:19 || endTime :2015-01-09 06:21:19 || tweets/hour :0
startTime :2015-01-09 06:21:19 || endTime :2015-01-09 07:21:19 || tweets/hour :0
startTime :2015-01-09 07:21:19 || endTime :2015-01-09 08:21:19 || tweets/hour :0
startTime :2015-01-09 08:21:19 || endTime :2015-01-09 09:21:19 || tweets/hour :0
startTime :2015-01-09 09:21:19 || endTime :2015-01-09 10:21:19 || tweets/hour :0
startTime :2015-01-09 10:21:19 || endTime :2015-01-09 11:21:19 || tweets/hour :0
startTime :2015-01-09 11:21:19 || endTime :2015-01-09 12:21:19 || tweets/hour :0
startTime :2015-01-09 12:21:19 || endTime :2015-01-09 13:21:19 || tweets/hour :0
startTime :2015-01-09 13:21:19 || endTime :2015-01-09 14:21:19 || tweets/hour :0
startTime :2015-01-09 14:21:19 || endTime :2015-01-09 15:21:19 || tweets/hour :1
startTime :2015-01-09 15:21:19 || endTime :2015-01-09 16:21:19 || tweets/hour :1
startTime :2015-01-09 16:21:19 || endTime :2015-01-09 17:21:19 || tweets/hour :0
startTime :2015-01-09 17:21:19 || endTime :2015-01-09 18:21:19 || tweets/hour :0
startTime :2015-01-09 18:21:19 || endTime :2015-01-09 19:21:19 || tweets/hour :0
startTime :2015-01-09 19:21:19 || endTime :2015-01-09 20:21:19 || tweets/hour :0
startTime :2015-01-09 20:21:19 || endTime :2015-01-09 21:21:19 || tweets/hour :0
startTime :2015-01-09 21:21:19 || endTime :2015-01-09 22:21:19 || tweets/hour :0
startTime :2015-01-09 22:21:19 || endTime :2015-01-09 23:21:19 || tweets/hour :0
